DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,MOVEMENTS,CLOSING ODDS,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2016-2017 Regular Season,12/09/2016,Sacramento,Home,32,21,24,23,,,,,100,240,35,87,7,28,23,27,6,33,39,24,20,10,7,7,1,100,97.6,97.6,102.5,105.6,1,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Ben McLemore,Darren Collison,,Kevin Scott,-4.0,-4.0,211.0,-5 -15 / -5  / -5.5 ,-5.5,-235,-4.5 -05,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Milwaukee,Road,32,20,25,28,,,,,105,240,40,79,13,25,12,15,7,33,40,22,21,1,20,20,3,105,96.1,96.1,109.3,114.5,3IN4-B2B,Giannis Antetokounmpo,Jabari Parker,John Henson,Tony Snell,Matthew Dellavedova,Derek Richardson,Marc Davis,208,4.5,208.0,211o14 / 211.5 / 210,209.5,+160,104,,
2016-2017 Regular Season,12/10/2016,Washington,Home,23,29,25,33,,,,,110,240,40,88,8,21,22,28,12,28,40,29,17,10,9,10,4,110,96.1,96.1,114.5,109.3,1,Otto Porter,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,,Derrick Collins,-4.5,-4.5,208.0,-4.5  / -4.5 -05 / -4.5 -07,-4.5,-180,-3 ,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Denver,Road,32,33,27,29,,,,,121,240,47,83,8,19,19,25,9,35,44,25,20,2,12,12,4,121,95.8,95.8,126.3,117.9,3IN4,Danilo Gallinari,Darrell Arthur,Jusuf Nurkic,Will Barton,Emmanuel Mudiay,Leroy Richardson,Tom Washington,-1.0,-1.0,203.5,-2.5  / -2  / -2 -05,-2.0,-125,+1.5 ,,
2016-2017 Regular Season,12/10/2016,Orlando,Home,29,29,37,18,,,,,113,240,43,88,11,27,16,24,5,26,31,27,18,7,5,5,5,113,95.8,95.8,117.9,126.3,4IN5-B2B,Aaron Gordon,Serge Ibaka,Bismack Biyombo,Evan Fournier,D.J. Augustin,,Ben Taylor,203.5,1.0,203.5,205.5 / 205.5o14 / 206,205.5,+105,100,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Portland,Road,44,27,27,13,,,,,111,240,40,82,16,37,15,16,9,32,41,22,20,6,17,19,4,111,96.5,96.5,115.0,122.3,3IN4,Maurice Harkless,Ed Davis,Mason Plumlee,CJ McCollum,Damian Lillard,Tony Brothers,Pat Fraher,216,1.0,216.0,-1.5 -05 / -1.5 -03 / -1 ,0.0,-115,+2 ,,
2016-2017 Regular Season,12/10/2016,Indiana,Home,31,33,26,28,,,,,118,240,40,83,15,29,23,28,10,29,39,24,13,11,13,13,9,118,96.5,96.5,122.3,115.0,3IN4-B2B,Paul George,Thaddeus Young,Myles Turner,Monta Ellis,Jeff Teague,,Karl Lane,-1,-1.0,216.0,217.5o14 / 217.5 / 216.5,217.0,-105,106.5,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Charlotte,Road,26,26,29,24,,,,,105,240,39,86,10,27,17,24,12,27,39,24,24,5,14,14,0,105,95.8,95.8,109.6,121.1,3IN4-B2B,Michael Kidd-Gilchrist,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Scott Foster,Brent Barnaky,212.0,7.5,212.0,212.5 / 213 / 213.5,214.5,+285,106.5,,
2016-2017 Regular Season,12/10/2016,Cleveland,Home,36,31,25,24,,,,,116,240,42,73,13,31,19,28,7,33,40,25,24,8,17,18,2,116,95.8,95.8,121.1,109.6,3IN4-B2B,LeBron James,Kevin Love,Tristan Thompson,JR Smith,Kyrie Irving,,Lauren Holtkamp,-7.5,-7.5,212.0,-7.5 -05 / -7.5 -20 / -8 ,-8.0,-350,PK ,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Miami,Road,27,28,20,25,,,,,100,240,42,91,5,20,11,18,14,29,43,25,22,5,12,12,5,100,94.1,94.1,106.3,111.6,4IN5-B2B,Rodney McGruder,Josh McRoberts,Hassan Whiteside,Wayne Ellington,Goran Dragic,Rodney Mott,Kevin Cutler,198,9.5,198.0,199.5 / 201 / 200.5,201.0,+380,98.5u15,,
2016-2017 Regular Season,12/10/2016,Chicago,Home,29,26,28,22,,,,,105,240,38,84,1,8,28,31,12,35,47,17,15,8,11,11,6,105,94.1,94.1,111.6,106.3,1,Jimmy Butler,Taj Gibson,Robin Lopez,Dwyane Wade,Rajon Rondo,,Josh Tiven,-9.5,-9.5,198.0,-10 -15 / -10 -05 / -9.5 ,-9.5,-475,-6.5 ,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Golden State,Road,16,22,27,24,,,,,89,240,34,77,9,27,12,20,10,32,42,15,23,6,23,23,8,89,97.6,97.6,91.2,112.7,3IN4,Kevin Durant,Draymond Green,Anderson Varejao,Klay Thompson,Stephen Curry,James Capers,Leon Wood,-10.5,-10.5,209.0,-13 -05 / -13  / -13 -15,-13.0,-1300,-13 ,,
2016-2017 Regular Season,12/10/2016,Memphis,Home,31,30,26,23,,,,,110,240,38,87,8,26,26,29,11,36,47,23,19,10,10,12,5,110,97.6,97.6,112.7,91.2,1,Tony Allen,JaMychal Green,Marc Gasol,Troy Williams,Andrew Harrison,,Kane Fitzgerald,209.0,10.5,209.0,210 / 210.5 / 211,211.5,+800,104.5,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Dallas,Road,27,22,20,18,,,,,87,240,32,79,11,34,12,14,6,26,32,18,18,7,9,9,3,87,86.8,86.8,100.3,125.6,3IN4-B2B,Harrison Barnes,Dorian Finney-Smith,Salah Mejri,Wesley Matthews,Deron Williams,Mike Callahan,Brian Forte,207,13.0,207.0,210 / 209 / 208.5,208.0,+700,102.5,,
2016-2017 Regular Season,12/10/2016,Houston,Home,36,24,26,23,,,,,109,240,37,74,19,37,16,22,10,38,48,31,16,4,15,15,1,109,86.8,86.8,125.6,100.3,3IN4-B2B,Trevor Ariza,Ryan Anderson,Clint Capela,Patrick Beverley,James Harden,,Eric Dalen,-13,-13.0,207.0,-12.5  / -12.5 -05 / -12.5 ,-12.0,-1000,-3.5 ,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Brooklyn,Road,26,26,18,31,,,,,101,240,36,87,7,27,22,25,11,36,47,21,16,6,16,16,2,101,102.0,102.0,99.0,127.4,2,Bojan Bogdanovic,Trevor Booker,Brook Lopez,Sean Kilpatrick,Isaiah Whitehead,Ed Malloy,Eric Lewis,212.0,14.5,212.0,210 / 210o21 / 211o12,211.5,+1050,110.5,,
2016-2017 Regular Season,12/10/2016,San Antonio,Home,41,26,36,27,,,,,130,240,50,94,14,26,16,18,8,41,49,38,18,11,10,10,7,130,102.0,102.0,127.4,99.0,1,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,,Marat Kogut,-14.5,-14.5,212.0,-16  / -16 -11 / -16 -05,-16.0,-2650,-5 ,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,Sacramento,Road,25,25,26,8,,,,,84,240,34,90,9,26,7,13,12,22,34,17,14,10,10,10,4,84,91.0,91.0,92.3,114.3,3IN4-B2B,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Ben McLemore,Darren Collison,Jason Phillips,J.T. Orr,198.5,7.0,198.5,198.5 / 197.5 / 197,196.5,+210,96.5,,
2016-2017 Regular Season,12/10/2016,Utah,Home,29,23,26,26,,,,,104,240,37,77,13,29,17,18,13,41,54,23,16,9,22,22,10,104,91.0,91.0,114.3,92.3,1,Gordon Hayward,Boris Diaw,Rudy Gobert,Joe Ingles,Dante Exum,,James Williams,-7,-7.0,198.5,-6 -15 / -6  / -6 -11,-6.0,-260,-4 -05,Boxscore,Odds
2016-2017 Regular Season,12/10/2016,New Orleans,Road,31,24,25,25,,,,,105,240,40,83,8,19,17,26,8,26,34,25,15,3,16,16,1,105,98.3,98.3,106.8,135.3,1,Solomon Hill,Terrence Jones,Alexis Ajinca,Buddy Hield,Tim Frazier,Monty McCutchen,Matt Boland,203.5,13.0,203.5,201.5 / 200 / 199.5,200.0,+1000,99o25,,
2016-2017 Regular Season,12/10/2016,LA Clippers,Home,35,26,37,35,,,,,133,240,54,94,17,36,8,9,9,31,40,34,22,10,10,10,2,133,98.3,98.3,135.3,106.8,2,Austin Rivers,Luc Mbah a Moute,DeAndre Jordan,JJ Redick,Chris Paul,,Aaron Smith,-13.0,-13.0,203.5,-14.5  / -15  / -15 -15,-15.5,-2000,-7.5 -05,Boxscore,Odds
2016-2017 Regular Season,12/11/2016,Philadelphia,Road,32,26,22,17,,,,,97,240,38,68,7,17,14,17,5,37,42,24,13,11,20,20,4,97,90.2,90.2,107.5,87.5,2,Robert Covington,Ersan Ilyasova,Jahlil Okafor,Gerald Henderson,T.J. McConnell,Dan Crawford,Mark Lindsay,199.5,12.5,199.5,199.5 / 198.5 / 197.5,198.0,+700,95,,
2016-2017 Regular Season,12/11/2016,Detroit,Home,12,23,29,15,,,,,79,240,32,82,5,19,10,14,10,24,34,15,18,15,15,15,2,79,90.2,90.2,87.5,107.5,1,Tobias Harris,Marcus Morris,Andre Drummond,Darrun Hilliard,Reggie Jackson,,Tre Maddox,-12.5,-12.5,199.5,-12 -05 / -12  / -12 -05,-12.0,-1000,-12.5 ,Boxscore,Odds
2016-2017 Regular Season,12/11/2016,Boston,Road,24,19,28,25,,,,,96,240,40,90,11,32,5,8,12,28,40,28,22,9,13,14,4,96,92.2,92.2,104.1,107.4,1,Jae Crowder,Amir Johnson,Al Horford,Avery Bradley,Marcus Smart,Sean Corbin,Bill Kennedy,209.0,4.5,209.0,207 / 207.5 / 207.5u11,207.5,+135,108,,
2016-2017 Regular Season,12/11/2016,Oklahoma City,Home,21,18,28,32,,,,,99,240,41,83,3,21,14,27,15,34,49,17,9,9,12,13,7,99,92.2,92.2,107.4,104.1,1,Andre Roberson,Domantas Sabonis,Steven Adams,Victor Oladipo,Russell Westbrook,,Jacyn Goble,-4.5,-4.5,209.0,-3.5  / -3.5 -05 / -3 ,-3.0,-155,-2.5 ,Boxscore,Odds
2016-2017 Regular Season,12/11/2016,Golden State,Road,30,30,18,38,,,,,116,240,38,83,13,32,27,30,6,31,37,30,24,9,8,9,4,116,95.5,95.5,121.5,113.1,4IN5-B2B,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Courtney Kirkland,Sean Wright,-9.5,-9.5,223.0,-10  / -10 -15 / -9.5 -15,-10.0,-520,-6.5 -15,,
2016-2017 Regular Season,12/11/2016,Minnesota,Home,27,31,30,20,,,,,108,240,36,81,9,24,27,36,16,35,51,17,21,3,14,15,2,108,95.5,95.5,113.1,121.5,3IN4,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Zach LaVine,Ricky Rubio,,Haywoode Workman,223,9.5,223.0,225 / 225.5 / 226,226.5,+400,111.5,Boxscore,Odds
2016-2017 Regular Season,12/11/2016,New Orleans,Road,25,26,25,34,10,,,,120,265,38,97,16,40,28,35,14,35,49,24,27,12,11,12,4,120,107.0,96.9,112.2,111.2,3IN4-B2B,Solomon Hill,Anthony Davis,Alexis Ajinca,Buddy Hield,Jrue Holiday,Bennie Adams,Gary Zielinski,208.0,4.5,208.0,214.5 / 216 / 216.5,216.0,+105,107.5,,
2016-2017 Regular Season,12/11/2016,Phoenix,Home,31,27,24,28,9,,,,119,265,44,96,14,41,17,26,14,43,57,21,27,6,16,16,3,119,107.0,96.9,111.2,112.2,1,PJ Tucker,Marquese Chriss,Tyson Chandler,Devin Booker,Eric Bledsoe,,Brett Nansel,-4.5,-4.5,208.0,-2.5  / -2.5 -05 / -2 ,-2.0,-125,+1.5 ,Boxscore,Odds
2016-2017 Regular Season,12/11/2016,New York,Road,32,25,27,34,,,,,118,240,41,84,10,22,26,31,8,36,44,21,15,9,10,11,11,118,100.1,100.1,117.9,111.9,1,Carmelo Anthony,Kristaps Porzingis,Joakim Noah,Courtney Lee,Derrick Rose,Ron Garretson,Mark Ayotte,-2,-2.0,217.5,-2 -15 / -2.5  / -2.5 -15,-2.5,-140,-2 ,,
2016-2017 Regular Season,12/11/2016,LA Lakers,Home,30,26,19,37,,,,,112,240,42,88,10,28,18,22,9,32,41,26,22,7,14,15,1,112,100.1,100.1,111.9,117.9,1,Luol Deng,Julius Randle,Timofey Mozgov,Nick Young,D'Angelo Russell,,Nick Buchert,217.5,2.0,217.5,217 / 217o13 / 217.5,217.0,+120,107.5,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Charlotte,Road,20,23,30,21,,,,,94,240,28,84,10,26,28,32,9,37,46,16,15,8,13,13,4,94,97.7,97.7,96.2,112.6,3IN4,Michael Kidd-Gilchrist,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Tony Brown,Sean Wright,212.0,1.0,212.0,-1.5  / -1.5 -05 / -1.5 ,-1.5,-125,-1 -20,,
2016-2017 Regular Season,12/12/2016,Indiana,Home,25,20,31,34,,,,,110,240,43,88,17,36,7,10,5,37,42,24,21,4,11,11,11,110,97.7,97.7,112.6,96.2,3IN4,Paul George,Thaddeus Young,Myles Turner,Glenn Robinson III,Jeff Teague,,Curtis Blair,-1.0,-1.0,212.0,209 / 208.5 / 208,208.5,+105,103.5,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Milwaukee,Road,23,26,33,18,,,,,100,240,42,89,4,24,12,17,12,25,37,27,20,8,11,11,3,100,92.2,92.2,108.5,132.4,3IN4,Giannis Antetokounmpo,Jabari Parker,John Henson,Tony Snell,Matthew Dellavedova,Courtney Kirkland,Kane Fitzgerald,211.5,8.5,211.5,212 / 212.5 / 213,212.5,+300,102.5o15,,
2016-2017 Regular Season,12/12/2016,Toronto,Home,33,36,23,30,,,,,122,240,42,81,14,25,24,28,14,32,46,26,18,7,14,14,2,122,92.2,92.2,132.4,108.5,2,DeMarre Carroll,Pascal Siakam,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,,Kevin Scott,-8.5,-8.5,211.5,-8 -15 / -8 -05 / -8 ,-8.0,-365,+1.5 ,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Washington,Road,29,24,29,19,,,,,101,240,39,84,5,23,18,22,10,27,37,17,22,8,14,15,1,101,97.3,97.3,103.8,115.1,1,Otto Porter,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Tom Washington,Eric Dalen,205.0,1.0,205.0,-1  / -1 -15 / -1 ,-1.0,-120,-2.5 ,,
2016-2017 Regular Season,12/12/2016,Miami,Home,28,31,22,31,,,,,112,240,45,88,9,26,13,19,11,36,47,25,18,6,11,15,3,112,97.3,97.3,115.1,103.8,3IN4,Rodney McGruder,Josh McRoberts,Hassan Whiteside,Wayne Ellington,Goran Dragic,,Mitchell Ervin,-1.0,-1.0,205.0,206.5 / 207 / 207.5,208.5,+100,102,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Brooklyn,Road,24,19,42,33,,,,,118,240,42,80,7,20,27,36,6,35,41,21,27,9,19,20,4,118,107.0,107.0,110.2,114.0,1,Bojan Bogdanovic,Trevor Booker,Brook Lopez,Sean Kilpatrick,Isaiah Whitehead,James Capers,Josh Tiven,227.5,15.0,227.5,230 / 229.5 / 229.5o14,230.0,+800,119,,
2016-2017 Regular Season,12/12/2016,Houston,Home,29,24,37,32,,,,,122,240,42,91,17,43,21,36,11,28,39,23,25,10,14,14,5,122,107.0,107.0,114.0,110.2,3IN4,Trevor Ariza,Ryan Anderson,Clint Capela,Patrick Beverley,James Harden,,Steve Anderson,-15,-15.0,227.5,-14 -05 / -13.5 -15 / -13.5 ,-13.5,-1300,-4.5 ,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Denver,Road,19,24,24,25,,,,,92,240,35,83,7,25,15,18,20,23,43,19,15,6,16,16,3,92,83.9,83.9,109.6,133.5,1,Danilo Gallinari,Darrell Arthur,Jusuf Nurkic,Will Barton,Emmanuel Mudiay,Michael Smith,Bill Kennedy,-1.0,-1.0,203.5,-1.5  / -2  / -2 -15,-2.5,-140,-7 -05,,
2016-2017 Regular Season,12/12/2016,Dallas,Home,27,38,27,20,,,,,112,240,45,77,12,26,10,12,8,26,34,22,15,9,9,11,7,112,83.9,83.9,133.5,109.6,3IN4,Dorian Finney-Smith,Harrison Barnes,Salah Mejri,Wesley Matthews,Deron Williams,,Dedric Taylor,203.5,1.0,203.5,200.5o27 / 201.5 / 202.5,204.0,+120,99,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,Portland,Road,27,33,26,34,,,,,120,240,44,87,10,21,22,25,13,29,42,25,24,6,15,16,7,120,97.4,97.4,123.1,124.2,1,Al-Farouq Aminu,Maurice Harkless,Mason Plumlee,CJ McCollum,Damian Lillard,Jason Phillips,Nick Buchert,218.5,9.0,218.5,218 / 218o11 / 218.5,219.0,+430,108.5,,
2016-2017 Regular Season,12/12/2016,LA Clippers,Home,38,18,33,32,,,,,121,240,42,89,11,23,26,28,13,25,38,26,20,9,12,13,8,121,97.4,97.4,124.2,123.1,1,Luc Mbah a Moute,Blake Griffin,DeAndre Jordan,JJ Redick,Chris Paul,,Tyler Ford,-9,-9.0,218.5,-10  / -10 -15 / -10 -05,-10.0,-550,-8.5 -05,Boxscore,Odds
2016-2017 Regular Season,12/12/2016,LA Lakers,Road,24,34,13,21,,,,,92,240,33,84,10,23,16,21,17,22,39,18,16,12,19,20,3,92,97.0,97.0,94.9,119.6,3IN4-B2B,Luol Deng,Julius Randle,Timofey Mozgov,Nick Young,D'Angelo Russell,Monty McCutchen,Matt Boland,215.0,7.0,215.0,217 / 217.5 / 216.5,217.0,+315,104.5u15,,
2016-2017 Regular Season,12/12/2016,Sacramento,Home,31,18,39,28,,,,,116,240,47,84,10,23,12,21,13,34,47,23,20,16,21,22,6,116,97.0,97.0,119.6,94.9,3IN4,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Ben McLemore,Darren Collison,,Aaron Smith,-7.0,-7.0,215.0,-8 -15 / -8.5  / -8.5 -15,-9.0,-385,-6 ,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,Memphis,Road,20,23,15,28,,,,,86,240,35,86,4,22,12,15,11,32,43,19,23,10,15,16,6,86,96.1,96.1,89.5,107.2,2,Troy Williams,Zach Randolph,JaMychal Green,Tony Allen,Andrew Harrison,Marc Davis,Kevin Scott,203,12.5,203.0,201.5 / 201 / 200,200.5,+850,98,,
2016-2017 Regular Season,12/13/2016,Cleveland,Home,32,26,15,30,,,,,103,240,37,81,12,31,17,23,10,36,46,21,16,8,17,18,4,103,96.1,96.1,107.2,89.5,2,LeBron James,Kevin Love,Tristan Thompson,JR Smith,DeAndre Liggins,,Scott Twardoski,-12.5,-12.5,203.0,-14 -15 / -14.5 -12 / -14.5 ,-14.5,-1450,-4 ,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,Orlando,Road,35,37,27,32,,,,,131,240,51,87,15,34,14,20,5,23,28,36,17,8,9,9,5,131,97.1,97.1,134.9,123.6,2,Aaron Gordon,Serge Ibaka,Bismack Biyombo,Evan Fournier,D.J. Augustin,Ken Mauer,Josh Tiven,197.5,6.5,197.5,200.5 / 201 / 201.5,202.0,+305,100.5o15,,
2016-2017 Regular Season,12/13/2016,Atlanta,Home,34,28,34,24,,,,,120,240,45,89,11,28,19,21,13,32,45,29,16,6,15,15,4,120,97.1,97.1,123.6,134.9,3+,Thabo Sefolosha,Paul Millsap,Dwight Howard,Tim Hardaway Jr.,Dennis Schroder,,Justin VanDuyne,-6.5,-6.5,197.5,-8  / -8 -15 / -8.5 ,-8.5,-375,-7.5 ,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,Minnesota,Road,22,30,26,21,,,,,99,240,38,86,6,21,17,22,15,34,49,24,14,3,14,14,8,99,90.7,90.7,109.2,103.6,1,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Zach LaVine,Ricky Rubio,Ed Malloy,Ben Taylor,209,7.0,209.0,206o27 / 207 / 207.5,208.0,+187,101,,
2016-2017 Regular Season,12/13/2016,Chicago,Home,38,18,19,19,,,,,94,240,38,87,4,15,14,19,13,29,42,20,16,7,9,10,6,94,90.7,90.7,103.6,109.2,2,Jimmy Butler,Taj Gibson,Robin Lopez,Dwyane Wade,Jerian Grant,,James Williams,-7,-7.0,209.0,-5.5 -05 / -5.5 -15 / -5.5 ,-5.5,-226,-2.5 ,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,Golden State,Road,29,29,37,18,,,,,113,240,42,95,14,34,15,19,9,36,45,30,12,6,12,12,5,113,102.4,102.4,110.4,106.4,3IN4,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,Zach Zarba,Brent Barnaky,-10.0,-10.0,224.5,-11 -05 / -11  / -11 -15,-11.5,-750,-11.5 ,,
2016-2017 Regular Season,12/13/2016,New Orleans,Home,35,30,29,15,,,,,109,240,39,82,14,35,17,21,6,39,45,26,18,12,17,17,11,109,102.4,102.4,106.4,110.4,3IN4,Solomon Hill,Anthony Davis,Alexis Ajinca,Buddy Hield,Jrue Holiday,,Jacyn Goble,224.5,10.0,224.5,226u28 / 225 / 225.5,225.0,+550,112o15,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,New York,Road,25,21,27,28,10,,,,111,265,38,97,7,20,28,38,11,32,43,23,27,10,13,14,4,111,109.2,98.9,101.7,103.5,1,Carmelo Anthony,Kristaps Porzingis,Joakim Noah,Courtney Lee,Derrick Rose,Scott Foster,Derrick Collins,-3.5,-3.5,221.0,-2 -15 / -2  / -2 -05,-1.5,-125,-3.5 -05,,
2016-2017 Regular Season,12/13/2016,Phoenix,Home,31,23,31,16,12,,,,113,265,38,93,9,30,28,33,16,45,61,13,28,9,17,18,7,113,109.2,98.9,103.5,101.7,1,PJ Tucker,Marquese Chriss,Tyson Chandler,Devin Booker,Eric Bledsoe,,Aaron Smith,221,3.5,221.0,219.5 / 218 / 219,218.5,+105,109,Boxscore,Odds
2016-2017 Regular Season,12/13/2016,Oklahoma City,Road,31,21,19,24,,,,,95,240,33,87,8,27,21,28,16,27,43,18,21,10,21,21,2,95,97.2,97.2,97.7,117.3,1,Andre Roberson,Domantas Sabonis,Steven Adams,Jerami Grant,Russell Westbrook,Bill Spooner,Leon Wood,-1.0,-1.0,219.5,219 / 218.5 / 219,221.0,-109,107.5,,
2016-2017 Regular Season,12/13/2016,Portland,Home,32,36,24,22,,,,,114,240,43,80,8,23,20,27,8,29,37,23,26,11,14,14,9,114,97.2,97.2,117.3,97.7,3IN4-B2B,Maurice Harkless,Noah Vonleh,Mason Plumlee,CJ McCollum,Damian Lillard,,Matt Boland,219.5,1.0,219.5,-2 -15 / -2.5  / -2 -15,-1.0,-113,+5 ,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,Toronto,Road,22,38,32,31,,,,,123,240,41,87,10,29,31,36,15,24,39,21,20,9,9,11,3,123,94.3,94.3,130.4,120.8,1,DeMarre Carroll,Pascal Siakam,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Mike Callahan,Eric Lewis,-8.5,-8.5,208.0,-8  / -8 -05 / -7.5 ,-7.5,-340,-2.5 ,,
2016-2017 Regular Season,12/14/2016,Philadelphia,Home,25,29,20,40,,,,,114,240,43,86,9,29,19,25,14,29,43,29,27,5,14,14,4,114,94.3,94.3,120.8,130.4,2,Robert Covington,Joel Embiid,Jahlil Okafor,Gerald Henderson,Sergio Rodriguez,,Brett Nansel,208,8.5,208.0,207 / 206 / 205,205.5,+275,101.5o20,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,Charlotte,Road,30,24,23,29,,,,,106,240,38,74,14,33,16,21,5,28,33,25,18,7,18,18,8,106,94.5,94.5,112.1,115.3,1,Michael Kidd-Gilchrist,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Derrick Stafford,Bennie Adams,210.0,0.0,210.0,-1 -15 / -1.5  / -2 -15,-2.0,-132,+0.5 ,,
2016-2017 Regular Season,12/14/2016,Washington,Home,26,23,38,22,,,,,109,240,45,87,5,18,14,17,12,29,41,27,18,15,14,14,3,109,94.5,94.5,115.3,112.1,1,Otto Porter,Kelly Oubre Jr.,Marcin Gortat,Bradley Beal,John Wall,,Haywoode Workman,0.0,0.0,210.0,209 / 210 / 210.5,211.5,+112,104.5,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,LA Clippers,Road,30,30,27,26,,,,,113,240,37,74,13,25,26,37,7,35,42,21,20,6,11,11,5,113,93.4,93.4,121.0,115.6,1,Austin Rivers,Blake Griffin,DeAndre Jordan,JJ Redick,Chris Paul,Pat Fraher,Courtney Kirkland,-8.5,-8.5,207.5,-8.5 -05 / -9 -05 / -8.5 ,-8.5,-375,-2 ,,
2016-2017 Regular Season,12/14/2016,Orlando,Home,25,26,36,21,,,,,108,240,42,89,14,33,10,20,12,27,39,29,29,5,8,11,1,108,93.4,93.4,115.6,121.0,B2B,Aaron Gordon,Serge Ibaka,Bismack Biyombo,Evan Fournier,D.J. Augustin,,Mitchell Ervin,207.5,8.5,207.5,210 / 210.5 / 211,210.0,+305,102.5,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,Indiana,Road,21,31,27,10,,,,,89,240,33,89,9,27,14,17,6,32,38,14,21,8,8,9,5,89,95.0,95.0,93.7,100.0,1,Paul George,Thaddeus Young,Myles Turner,Glenn Robinson III,Jeff Teague,Dan Crawford,Brian Forte,207.0,1.0,207.0,PK  / -1  / PK +11,-1.0,-115,-1 ,,
2016-2017 Regular Season,12/14/2016,Miami,Home,20,33,25,17,,,,,95,240,37,82,7,25,14,25,14,44,58,23,16,4,15,15,6,95,95.0,95.0,100.0,93.7,1,Rodney McGruder,Josh McRoberts,Hassan Whiteside,Wayne Ellington,Goran Dragic,,Marat Kogut,-1.0,-1.0,207.0,203.5 / 204 / 203.5,204.0,-105,100,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,LA Lakers,Road,30,13,33,21,,,,,97,240,35,91,6,27,21,34,18,31,49,11,26,8,10,10,6,97,96.5,96.5,100.5,110.8,3IN4,Luol Deng,Julius Randle,Timofey Mozgov,Nick Young,D'Angelo Russell,John Goble,Kane Fitzgerald,226,1.5,226.0,-1  / -1.5  / PK ,-1.0,-115,-3.5 ,,
2016-2017 Regular Season,12/14/2016,Brooklyn,Home,27,25,23,32,,,,,107,240,33,86,11,35,30,40,19,42,61,19,26,7,15,16,4,107,96.5,96.5,110.8,100.5,1,Bojan Bogdanovic,Trevor Booker,Brook Lopez,Sean Kilpatrick,Isaiah Whitehead,,CJ Washington,-1.5,-1.5,226.0,229 / 228 / 228.5,228.0,-105,112,Boxscore,Odds
2016-2017 Regular Season,12/14/2016,Cleveland,Road,16,20,17,32,,,,,85,240,28,75,9,25,20,31,7,32,39,10,16,10,11,11,2,85,90.2,90.2,94.2,103.1,B2B,Mike Dunleavy,Channing Frye,Tristan Thompson,JR Smith,DeAndre Liggins,Bill Kennedy,Eric Dalen,-7.5,-7.5,203.0,190.5 / 190 / 189.5,190.0,+250,91.5,,
2016-2017 Regular Season,12/14/2016,Memphis,Home,28,19,27,19,,,,,93,240,35,81,12,23,11,16,14,41,55,22,27,9,16,17,3,93,90.2,90.2,103.1,94.2,B2B,Tony Allen,JaMychal Green,Marc Gasol,Troy Williams,Andrew Harrison,,Mark Lindsay,203.0,7.5,203.0,-7 -15 / -7 -16 / -7.5 ,-7.0,-310,-1 -15,Boxscore,Odds
